ID     ,Product Type ,Name                                                            ,SKU                                                                   ,Price   ,Cost   ,Brand            ,Status  ,Visibility ,Availability ,Price Update ,Weight
       ,product      ,BHP L-CARNITINA LIQUIDA ULTRA 500 ML UVA                        ,BHP L-CARNITINA LIQUIDA ULTRA 500 ML UVA                              , 233.82 , 161.0 ,BHP              ,New     ,True       ,available    ,             , 500.0
       ,product      ,BHP L-CARNITINA ULTRA 60 CAPS                                   ,BHP L-CARNITINA ULTRA 60 CAPS                                         , 226.57 , 156.0 ,BHP              ,New     ,True       ,available    ,             ,  60.0
       ,product      ,BHP NG CARBON ACTIVADO 60 CAPS                                  ,BHP NG CARBON ACTIVADO 60 CAPS                                        , 161.32 , 111.0 ,BHP              ,New     ,True       ,available    ,             ,  60.0
       ,product      ,BHP NG MAGNESIO 60 CAPS                                         ,BHP NG MAGNESIO 60 CAPS                                               , 174.38 , 120.0 ,BHP              ,New     ,True       ,available    ,             ,  60.0
       ,product      ,BHP NG VITAMINA C 100 TABS                                      ,BHP NG VITAMINA C 100 TABS                                            , 161.32 , 111.0 ,BHP              ,New     ,True       ,available    ,             , 100.0
       ,product      ,BHP OMEGA-3 ULTRA 90 GEL CAPS                                   ,BHP OMEGA-3 ULTRA 90 GEL CAPS                                         , 255.57 , 176.0 ,BHP              ,New     ,True       ,available    ,             ,   0.09
       ,product      ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV LIMONADA DE FRESA      ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV LIMONADA DE FRESA            , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV MANGO                  ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV MANGO                        , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV SANDIA                 ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV SANDIA                       , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV UVA                    ,BHP SHE FIT COLAGENO HIDROLIZADO 30 SERV UVA                          , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP SHE FIT WOMAN PROTEIN 3 LBS PASTEL DE CHOCOLATE             ,BHP SHE FIT WOMAN PROTEIN 3 LBS PASTEL DE CHOCOLATE                   , 654.32 , 451.0 ,BHP              ,New     ,True       ,available    ,             ,   1.360776
